fifth_place_age,fifth_place_boat,fifth_place_height,fifth_place_lane,fifth_place_motor,fifth_place_name,fifth_place_rank,fifth_place_weight,first_place_age,first_place_boat,first_place_height,first_place_lane,first_place_motor,first_place_name,first_place_rank,first_place_weight,fourth_place_age,fourth_place_boat,fourth_place_height,fourth_place_lane,fourth_place_motor,fourth_place_name,fourth_place_rank,fourth_place_weight,link,race_name,race_place,race_title,second_place_age,second_place_boat,second_place_height,second_place_lane,second_place_motor,second_place_name,second_place_rank,second_place_weight,sixth_place_age,sixth_place_boat,sixth_place_height,sixth_place_lane,sixth_place_motor,sixth_place_name,sixth_place_rank,sixth_place_weight,third_place_age,third_place_boat,third_place_height,third_place_lane,third_place_motor,third_place_name,third_place_rank,third_place_weight
(53),54,163,4,52,窪田好弘,B1,53,(47),29,168,1,54,岩井繁,B1,59,(52),33,163,5,67,横井光弘,B1,56,https://race.kyotei.club/info/info-20201212-17-2.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(52),66,162,2,32,小野信樹,B1,53,(52),56,168,6,42,村上功祐,B1,59,(31),40,165,3,28,坂口貴彦,B1,54
(31),40,165,5,28,坂口貴彦,B1,54,(46),51,162,1,65,深井利寿,A1,51,(49),61,168,4,36,向達哉,B1,53,https://race.kyotei.club/info/info-20201212-17-6.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(53),54,163,2,52,窪田好弘,B1,53,(49),43,168,6,69,國崎良春,A2,52,(43),48,157,3,58,中辻崇人,A1,51
(49),44,167,2,59,桂林寛,A2,55,(38),65,169,1,48,岡本大,B1,56,(35),28,169,6,46,大野芳顕,A1,52,https://race.kyotei.club/info/info-20201212-17-7.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(41),68,169,3,12,前野竜一,A2,58,(35),46,162,5,27,大原祥昌,B2,51,(40),27,166,4,17,君島秀三,A1,53
(38),42,166,6,23,浮田圭浩,B1,55,(37),21,165,1,14,金田大輔,B1,52,(37),63,169,3,33,新出浩司,A2,53,https://race.kyotei.club/info/info-20201212-17-10.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(43),48,157,4,58,中辻崇人,A1,51,(37),59,155,5,57,小野勇作,A1,50,(40),24,167,2,47,待鳥雄紀,A2,57
(32),70,164,5,64,岩橋裕馬,B1,52,(31),53,172,1,39,小池哲也,A2,55,(36),45,173,4,38,小川広大,B1,58,https://race.kyotei.club/info/info-20201212-17-9.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(42),62,165,3,45,松江秀徳,A2,53,(36),23,169,6,24,浦野海,B2,56,(41),56,168,2,42,村上功祐,B1,59
(52),66,162,5,32,小野信樹,B1,53,(22),11,165,1,62,中村魁生,A2,50,(46),35,162,2,37,清水攻二,A2,53,https://race.kyotei.club/info/info-20201212-17-8.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(40),69,165,3,49,奥田誠,A1,56,(46),36,162,6,16,田中宏樹,B1,52,(35),38,165,4,29,鶴本崇文,A1,52
(32),31,172,5,26,永井亮次,B1,54,(37),57,167,1,13,渡辺浩司,A1,52,(47),47,163,6,25,佐々木英樹,A2,53,https://race.kyotei.club/info/info-20201212-17-11.html,宮島,宮島,第11回中国醸造杯中国VS近畿VS九州3地区対抗戦 [第5日],(41),68,169,2,12,前野竜一,A2,58,(47),51,162,4,65,深井利寿,A1,51,(49),61,168,3,36,向達哉,B1,53
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-18-4.html,,,オラレ田布施開設4周年記念デイリースポーツ杯争奪戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-11.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-9.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
